,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
MYC340.fa,GCF_002101585.1.fa,41.40,[38 - 44.9%],0.3787,2.35,26.00,[23.6 - 28.4%],0.1672,0.02,36.40,[33.5 - 39.5%],0.4826,0.04,0.92
MYC340.fa,GCF_002101655.1.fa,40.70,[37.3 - 44.1%],0.3859,1.98,25.80,[23.5 - 28.3%],0.1680,0.01,35.80,[32.9 - 38.9%],0.4891,0.03,0.90
MYC340.fa,GCF_002101775.1.fa,42.90,[39.5 - 46.3%],0.3653,3.24,26.60,[24.2 - 29.1%],0.1628,0.02,37.70,[34.7 - 40.7%],0.4687,0.06,0.13
MYC340.fa,GCF_002101885.1.fa,48.10,[44.7 - 51.5%],0.3212,8.98,27.90,[25.5 - 30.4%],0.1546,0.04,41.90,[38.9 - 44.9%],0.4261,0.26,1.05
MYC340.fa,GCF_002101955.1.fa,51.30,[47.8 - 54.7%],0.2975,15,28.80,[26.4 - 31.3%],0.1491,0.06,44.50,[41.5 - 47.6%],0.4023,0.6,0.81
MYC340.fa,GCF_002102055.1.fa,13.90,[11.2 - 17.3%],0.9256,0,19.60,[17.4 - 22%],0.2247,0,14.20,[11.8 - 17%],0.9423,0,3.71
MYC340.fa,GCF_002102265.1.fa,45.70,[42.3 - 49.1%],0.3409,5.74,28.60,[26.3 - 31.1%],0.1499,0.06,40.50,[37.5 - 43.5%],0.4396,0.16,0.29
MYC340.fa,GCF_002102395.1.fa,21.80,[18.6 - 25.5%],0.6654,0,20.90,[18.6 - 23.3%],0.2104,0,20.70,[18 - 23.8%],0.7358,0,2.65
MYC340.fa,GCF_002104795.1.fa,20.10,[16.9 - 23.7%],0.7093,0,20.50,[18.3 - 22.9%],0.2143,0,19.30,[16.6 - 22.4%],0.7716,0,1.72
MYC340.fa,GCF_002967035.1.fa,48.40,[45 - 51.8%],0.3189,9.46,28.00,[25.6 - 30.5%],0.1537,0.04,42.20,[39.2 - 45.2%],0.4236,0.29,0.39
MYC340.fa,GCF_004721035.1.fa,16.80,[13.8 - 20.3%],0.8109,0,19.70,[17.5 - 22.1%],0.2233,0,16.60,[14 - 19.5%],0.8531,0,1.22
MYC340.fa,GCF_018455725.1.fa,30.20,[26.8 - 33.8%],0.5103,0.1,24.10,[21.8 - 26.6%],0.1812,0.01,27.70,[24.8 - 30.8%],0.5990,0,1.49
MYC340.fa,GCF_022430545.2.fa,16.40,[13.4 - 19.9%],0.8255,0,19.90,[17.7 - 22.3%],0.2213,0,16.30,[13.7 - 19.2%],0.8641,0,2.09
MYC340.fa,GCF_900078685.1.fa,40.30,[37 - 43.8%],0.3892,1.83,28.40,[26 - 30.9%],0.1515,0.05,36.50,[33.5 - 39.5%],0.4817,0.04,0.80
MYC340.fa,MYC17.fa,49.30,[45.9 - 52.8%],0.3119,11.03,31.10,[28.7 - 33.6%],0.1363,0.16,44.20,[41.2 - 47.2%],0.4057,0.53,0.09
MYC340.fa,MYC98.fa,72.10,[68.1 - 75.7%],0.1725,79.12,47.20,[44.6 - 49.8%],0.0784,12.28,68.10,[64.7 - 71.4%],0.2374,65.93,0.21
MYC340.fa,MYC101.fa,49.00,[45.6 - 52.4%],0.3146,10.4,30.80,[28.4 - 33.3%],0.1376,0.15,43.80,[40.8 - 46.8%],0.4089,0.48,0.09
MYC340.fa,MYC123.fa,49.00,[45.6 - 52.4%],0.3146,10.4,30.70,[28.3 - 33.2%],0.1385,0.14,43.70,[40.7 - 46.8%],0.4095,0.47,0.26
